Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Bac Lieu,2023,1,1,24.8,83,0,6.2
Bac Lieu,2023,1,2,25.4,84,0.7,7.7
Bac Lieu,2023,1,3,25.5,88,3.2,6.2
Bac Lieu,2023,1,4,26.2,85,0,1.3
Bac Lieu,2023,1,5,25.5,81,0,1
Bac Lieu,2023,1,6,25.2,73,0,2.7
Bac Lieu,2023,1,7,24,78,0,0.2
Bac Lieu,2023,1,8,23.3,88,1.1,0
Bac Lieu,2023,1,9,25.6,87,0,4
Bac Lieu,2023,1,10,25.6,92,19.7,4.6
Bac Lieu,2023,1,11,25.9,87,0.1,3.8
Bac Lieu,2023,1,12,26.1,87,0,7.9
Bac Lieu,2023,1,13,26.5,86,0.1,5
Bac Lieu,2023,1,14,26.7,88,0,9.1
Bac Lieu,2023,1,15,27.6,82,0,10
Bac Lieu,2023,1,16,26.6,83,0,9.3
Bac Lieu,2023,1,17,26.6,79,0,9.8
Bac Lieu,2023,1,18,25.9,84,0,7.5
Bac Lieu,2023,1,19,26.8,80,0,5.3
Bac Lieu,2023,1,20,26.2,88,3,3.2
Bac Lieu,2023,1,21,26.8,84,0,6.9
Bac Lieu,2023,1,22,27.4,78,0,8.3
Bac Lieu,2023,1,23,26.7,80,0,9.3
Bac Lieu,2023,1,24,27.5,75,0,8.2
Bac Lieu,2023,1,25,25.4,78,0,0.7
Bac Lieu,2023,1,26,24.7,87,0,2.1
Bac Lieu,2023,1,27,26,82,7.1,2.7
Bac Lieu,2023,1,28,25.5,85,0.5,4.6
Bac Lieu,2023,1,29,24.4,81,0,3.3
Bac Lieu,2023,1,30,23.8,83,0,4
Bac Lieu,2023,1,31,24.7,79,0,9.9
Bac Lieu,2023,2,1,25.2,89,0.1,1.1
Bac Lieu,2023,2,2,26.9,82,0,6.9
Bac Lieu,2023,2,3,27.2,77,0,8.1
Bac Lieu,2023,2,4,27.2,76,0,10.2
Bac Lieu,2023,2,5,26.6,77,0,10
Bac Lieu,2023,2,6,26.7,77,0,10.1
Bac Lieu,2023,2,7,26.7,83,0,9.1
Bac Lieu,2023,2,8,26.6,85,0,9
Bac Lieu,2023,2,9,27.1,80,0,10.3
Bac Lieu,2023,2,10,26.6,78,0,10.2
Bac Lieu,2023,2,11,26.5,83,0,9.8
Bac Lieu,2023,2,12,26.3,86,0,9.4
