Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Bach Long Vy,2023,1,1,17.1,68.0,0.0,4.2
Bach Long Vy,2023,1,2,15.6,95.0,2.5,0.0
Bach Long Vy,2023,1,3,15.2,92.0,2.6,0.0
Bach Long Vy,2023,1,4,16.4,94.0,0.0,0.1
Bach Long Vy,2023,1,5,19.0,87.0,0.0,0.0
Bach Long Vy,2023,1,6,19.2,73.0,0.0,5.0
Bach Long Vy,2023,1,7,19.1,64.0,0.0,2.3
Bach Long Vy,2023,1,8,18.5,86.0,0.6,0.0
Bach Long Vy,2023,1,9,18.1,96.0,11.4,0.4
Bach Long Vy,2023,1,10,18.2,99.0,19.1,0.0
Bach Long Vy,2023,1,11,18.2,98.0,8.3,0.0
Bach Long Vy,2023,1,12,18.9,100.0,4.5,0.0
Bach Long Vy,2023,1,13,20.8,99.0,0.1,5.7
Bach Long Vy,2023,1,14,22.2,94.0,0.0,6.9
Bach Long Vy,2023,1,15,17.2,90.0,0.0,0.0
Bach Long Vy,2023,1,16,11.9,79.0,0.0,0.0
Bach Long Vy,2023,1,17,12.3,86.0,0.0,0.0
Bach Long Vy,2023,1,18,12.9,74.0,0.0,0.0
Bach Long Vy,2023,1,19,15.2,78.0,0.0,2.6
Bach Long Vy,2023,1,20,16.6,68.0,0.0,9.4
Bach Long Vy,2023,1,21,18.0,81.0,0.0,5.1
Bach Long Vy,2023,1,22,18.3,94.0,0.0,0.2
Bach Long Vy,2023,1,23,18.6,94.0,0.0,1.1
Bach Long Vy,2023,1,24,14.9,62.0,0.0,3.4
Bach Long Vy,2023,1,25,15.1,66.0,0.0,9.3
Bach Long Vy,2023,1,26,17.9,85.0,0.0,0.0
Bach Long Vy,2023,1,27,14.7,77.0,0.0,0.0
Bach Long Vy,2023,1,28,13.5,50.0,0.0,7.7
Bach Long Vy,2023,1,29,15.0,46.0,0.0,7.8
Bach Long Vy,2023,1,30,16.1,60.0,0.0,9.5
Bach Long Vy,2023,1,31,17.8,77.0,0.0,8.6
Bach Long Vy,2023,2,1,19.5,93.0,0.0,0.0
Bach Long Vy,2023,2,2,20.0,96.0,0.0,0.0
Bach Long Vy,2023,2,3,19.9,98.0,3.4,0.0
Bach Long Vy,2023,2,4,19.2,99.0,6.5,0.0
Bach Long Vy,2023,2,5,18.3,99.0,13.4,0.0
Bach Long Vy,2023,2,6,18.9,99.0,3.6,0.0
Bach Long Vy,2023,2,7,19.1,99.0,1.0,0.0
Bach Long Vy,2023,2,8,20.8,97.0,11.7,0.0
