Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Bo_Trach,2023,1,1,16,86,0,0
Bo_Trach,2023,1,2,16.3,88,0.9,0
Bo_Trach,2023,1,3,17,93,0.8,0
Bo_Trach,2023,1,4,17.5,88,0.1,0
Bo_Trach,2023,1,5,17.8,94,3.9,0
Bo_Trach,2023,1,6,19.9,81,0.1,0
Bo_Trach,2023,1,7,19,76,0,2.9
Bo_Trach,2023,1,8,18.7,75,0,0
Bo_Trach,2023,1,9,18.8,89,0.1,0
Bo_Trach,2023,1,10,19.4,90,0.7,0
Bo_Trach,2023,1,11,19.9,91,0.6,0
Bo_Trach,2023,1,12,20,94,10,0
Bo_Trach,2023,1,13,20.8,94,0.2,9
Bo_Trach,2023,1,14,24.2,77,0,10
Bo_Trach,2023,1,15,21.8,84,0,8.1
Bo_Trach,2023,1,16,18.1,86,0,0
Bo_Trach,2023,1,17,15.2,92,4.6,0
Bo_Trach,2023,1,18,14.4,91,0.5,0
Bo_Trach,2023,1,19,15,88,0,0.9
Bo_Trach,2023,1,20,16.1,86,0,1.4
Bo_Trach,2023,1,21,18,83,0,1.3
Bo_Trach,2023,1,22,20.2,86,0,6.4
Bo_Trach,2023,1,23,21.3,87,1.2,1.9
Bo_Trach,2023,1,24,17.9,81,0.8,0.8
Bo_Trach,2023,1,25,15.5,74,0,0.1
Bo_Trach,2023,1,26,17.1,84,0,6.5
Bo_Trach,2023,1,27,17.6,90,2.1,0
Bo_Trach,2023,1,28,14.8,75,0,0.7
Bo_Trach,2023,1,29,14.4,70,0,4.2
Bo_Trach,2023,1,30,15.2,70,0,9.6
Bo_Trach,2023,1,31,15.9,81,0,9.8
Bo_Trach,2023,2,1,18.8,87,0,6.2
Bo_Trach,2023,2,2,20.4,96,5.4,0
Bo_Trach,2023,2,3,20.8,98,13.3,0
Bo_Trach,2023,2,4,22.6,94,1.8,0
Bo_Trach,2023,2,5,23,93,0.8,0
Bo_Trach,2023,2,6,22.9,93,0.1,0.2
Bo_Trach,2023,2,7,23.1,93,0.4,0
Bo_Trach,2023,2,8,23.2,95,0,1
Bo_Trach,2023,2,9,23.3,95,0,0
Bo_Trach,2023,2,10,23.7,94,0.2,1
Bo_Trach,2023,2,11,23.4,93,0,2
Bo_Trach,2023,2,12,23.8,92,0,7.2
Bo_Trach,2023,2,13,23.8,92,0,9.3
Bo_Trach,2023,2,14,21,96,4.9,0
Bo_Trach,2023,2,15,17.1,93,2.6,0
Bo_Trach,2023,2,16,16.8,87,0.1,0
Bo_Trach,2023,2,17,18.1,86,0,0.1
Bo_Trach,2023,2,18,19.2,90,0.1,0
Bo_Trach,2023,2,19,20.6,88,2.7,0.8
Bo_Trach,2023,2,20,20.1,86,0,0
Bo_Trach,2023,2,21,19.1,85,0,0
Bo_Trach,2023,2,22,21.4,86,0,7.4
Bo_Trach,2023,2,23,21.3,86,0,8.4
Bo_Trach,2023,2,24,21.5,85,0.5,2.7
Bo_Trach,2023,2,25,19.7,68,0,0
Bo_Trach,2023,2,26,17.9,80,0.3,0
Bo_Trach,2023,2,27,16.1,84,0.1,0
Bo_Trach,2023,2,28,18.4,85,0,0
Bo_Trach,2023,3,1,20.5,83,0,2.3
Bo_Trach,2023,3,2,21.6,81,0,7.5
Bo_Trach,2023,3,3,20.4,85,0,6.5
Bo_Trach,2023,3,4,20.4,89,7.1,0
Bo_Trach,2023,3,5,19.2,92,0.7,0
Bo_Trach,2023,3,6,20.6,86,0,5.7
Bo_Trach,2023,3,7,21.2,90,0,8.7
Bo_Trach,2023,3,8,21.4,88,0,8.9
Bo_Trach,2023,3,9,21.9,88,0,5.7
Bo_Trach,2023,3,10,21.6,86,0,9.2
Bo_Trach,2023,3,11,22.4,86,0,5.7
Bo_Trach,2023,3,12,21.4,92,0.2,0
Bo_Trach,2023,3,13,19.9,88,12.4,0
Bo_Trach,2023,3,14,19.7,79,0,7.6
Bo_Trach,2023,3,15,21.6,88,0,6.8
Bo_Trach,2023,3,16,23.8,90,0,5.5
Bo_Trach,2023,3,17,23.6,88,0,6.4
Bo_Trach,2023,3,18,23.7,88,0,6.8
Bo_Trach,2023,3,19,23.8,89,0,3.3
Bo_Trach,2023,3,20,24.9,87,0,4.9
Bo_Trach,2023,3,21,27.4,81,0,8.6
Bo_Trach,2023,3,22,28.8,74,0,9.3
Bo_Trach,2023,3,23,28.8,75,0,8.9
Bo_Trach,2023,3,24,26.7,86,0,9.2
Bo_Trach,2023,3,25,25.7,89,0,3.7
Bo_Trach,2023,3,26,24.3,95,6.6,0
Bo_Trach,2023,3,27,22.8,91,2.1,0
Bo_Trach,2023,3,28,21.1,87,0,0
Bo_Trach,2023,3,29,21,92,0.2,0
Bo_Trach,2023,3,30,22.5,90,0.1,1.5
Bo_Trach,2023,3,31,23.7,92,1.2,2.8
Bo_Trach,2023,4,1,24.8,91,0,7.1
Bo_Trach,2023,4,2,25.4,91,0,4.4
Bo_Trach,2023,4,3,26,89,0,9.7
Bo_Trach,2023,4,4,26.9,85,0,9.4
Bo_Trach,2023,4,5,29.4,76,0,9.8
Bo_Trach,2023,4,6,27.4,86,0,9.6
Bo_Trach,2023,4,7,24.9,92,4.2,0
Bo_Trach,2023,4,8,22.6,90,0.3,0
Bo_Trach,2023,4,9,22,85,0,0.9
Bo_Trach,2023,4,10,23,88,0,0
Bo_Trach,2023,4,11,25.1,91,0,4.2
Bo_Trach,2023,4,12,25.5,95,1.2,0
Bo_Trach,2023,4,13,25.9,94,0.3,0.9
Bo_Trach,2023,4,14,26.1,92,0.2,0.1
Bo_Trach,2023,4,15,24.9,97,34.2,0
Bo_Trach,2023,4,16,25.6,91,0.3,0.3
Bo_Trach,2023,4,17,25.6,92,0,7.3
Bo_Trach,2023,4,18,28.3,84,0,9.5
Bo_Trach,2023,4,19,31,72,0,9.9
Bo_Trach,2023,4,20,28.4,86,0,7.7
Bo_Trach,2023,4,21,28.2,89,0,9.7
Bo_Trach,2023,4,22,29,83,0,9.8
Bo_Trach,2023,4,23,28.2,84,0,7.8
Bo_Trach,2023,4,24,28.2,79,0,7.3
Bo_Trach,2023,4,25,27.1,92,0.3,7
Bo_Trach,2023,4,26,23.8,89,1.3,0
Bo_Trach,2023,4,27,24.4,85,0,8.2
Bo_Trach,2023,4,28,27.6,86,0,5.6
Bo_Trach,2023,4,29,26.9,87,25.4,0.5
Bo_Trach,2023,4,30,24.5,87,0,0.8
Bo_Trach,2023,5,1,25.2,82,0,9.6
Bo_Trach,2023,5,2,26.2,86,0,10.6
Bo_Trach,2023,5,3,27.6,87,0,10.2
Bo_Trach,2023,5,4,28.5,87,0,9.2
Bo_Trach,2023,5,5,31.5,77,0,10.7
Bo_Trach,2023,5,6,32.7,73,0,10.9
Bo_Trach,2023,5,7,31.4,81,37.8,9.3
Bo_Trach,2023,5,8,26.5,86,23.5,2.4
Bo_Trach,2023,5,9,27.5,86,0,6.6
Bo_Trach,2023,5,10,28.2,86,0,9
Bo_Trach,2023,5,11,27.2,91,9.4,0.6
Bo_Trach,2023,5,12,25,95,73.6,0
