Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Can_Gio,2023,1,1,26.2,68,0,5.1
Can_Gio,2023,1,2,26.5,79,1.2,4.1
Can_Gio,2023,1,3,26.8,82,0,5.5
Can_Gio,2023,1,4,26.9,66,0,3
Can_Gio,2023,1,5,26,67,0.5,0
Can_Gio,2023,1,6,25.6,67,0.2,0.3
Can_Gio,2023,1,7,25.9,65,0,0.4
Can_Gio,2023,1,8,25.4,73,0,0.8
Can_Gio,2023,1,9,26.1,86,0.1,2.1
Can_Gio,2023,1,10,25.2,89,21.3,1.1
Can_Gio,2023,1,11,26.6,78,0,2.8
Can_Gio,2023,1,12,26.5,79,0,7.5
Can_Gio,2023,1,13,26.4,87,0,6.1
Can_Gio,2023,1,14,27.3,84,0,6.6
Can_Gio,2023,1,15,27.2,79,0,9.5
Can_Gio,2023,1,16,27,80,0,8.7
Can_Gio,2023,1,17,26.3,79,0,8.2
Can_Gio,2023,1,18,26.3,76,0,6
Can_Gio,2023,1,19,26.4,70,0,7.3
Can_Gio,2023,1,20,26.9,76,0,7.3
Can_Gio,2023,1,21,27.4,75,0,8.9
Can_Gio,2023,1,22,27.8,76,0,8.5
Can_Gio,2023,1,23,28.1,73,0,7.1
Can_Gio,2023,1,24,27.2,76,2.1,8.6
Can_Gio,2023,1,25,25.4,71,0,6.5
Can_Gio,2023,1,26,26.1,68,0,6.5
Can_Gio,2023,1,27,26.6,78,0,4.4
Can_Gio,2023,1,28,26.2,67,0,7.1
Can_Gio,2023,1,29,25.1,65,0,3.3
Can_Gio,2023,1,30,24.5,68,0,6.8
Can_Gio,2023,1,31,25.4,77,0,10
Can_Gio,2023,2,1,26.1,81,0,0.5
Can_Gio,2023,2,2,26.6,80,0,3.4
Can_Gio,2023,2,3,28.1,68,0,10.4
Can_Gio,2023,2,4,28.1,66,0,10.8
Can_Gio,2023,2,5,27.4,72,0,10.4
Can_Gio,2023,2,6,27.2,74,0,10.2
Can_Gio,2023,2,7,27.3,74,0,8.6
Can_Gio,2023,2,8,27.7,74,0,8.9
Can_Gio,2023,2,9,28.2,68,0,10.6
Can_Gio,2023,2,10,27.7,67,0,10.7
Can_Gio,2023,2,11,27.5,75,0,9.1
Can_Gio,2023,2,12,27.1,79,0,8.9
Can_Gio,2023,2,13,27.2,82,0,9.1
Can_Gio,2023,2,14,26.7,82,0,7.2
Can_Gio,2023,2,15,27.4,72,0,8.4
Can_Gio,2023,2,16,26.6,68,0,6.8
Can_Gio,2023,2,17,27.1,69,0,9.6
Can_Gio,2023,2,18,26.8,78,0.3,3
Can_Gio,2023,2,19,27,76,0,5.4
Can_Gio,2023,2,20,26.7,78,0,4.2
Can_Gio,2023,2,21,26.3,77,0,9.8
Can_Gio,2023,2,22,26.4,77,0,7.6
Can_Gio,2023,2,23,26.4,76,0,7.2
Can_Gio,2023,2,24,26.8,73,0,9.7
Can_Gio,2023,2,25,25.9,74,0,5.8
Can_Gio,2023,2,26,25.7,68,0,10.1
Can_Gio,2023,2,27,26.3,66,0,9
Can_Gio,2023,2,28,27.6,71,0,5.4
Can_Gio,2023,3,1,27.8,71,0,6.4
Can_Gio,2023,3,2,27.6,72,0,9.2
Can_Gio,2023,3,3,26.4,72,0,6.4
Can_Gio,2023,3,4,25.9,74,0,4
Can_Gio,2023,3,5,25.6,70,0,9.8
Can_Gio,2023,3,6,25.3,72,0,6.7
Can_Gio,2023,3,7,25.8,70,0,9.5
Can_Gio,2023,3,8,25.9,72,0,9.6
Can_Gio,2023,3,9,26,71,0,9.9
Can_Gio,2023,3,10,25.7,75,0,9.5
Can_Gio,2023,3,11,26.1,74,0,8
Can_Gio,2023,3,12,26.4,71,0,8.9
Can_Gio,2023,3,13,26.4,69,0,9.7
Can_Gio,2023,3,14,26,73,0,9.8
Can_Gio,2023,3,15,26.7,70,0,9.9
Can_Gio,2023,3,16,27.1,70,0,10.1
Can_Gio,2023,3,17,27.2,72,0,8.2
Can_Gio,2023,3,18,27.4,70,0,8.6
Can_Gio,2023,3,19,28,71,0,9.8
Can_Gio,2023,3,20,27.6,76,0,8.1
Can_Gio,2023,3,21,27.6,80,0,10
Can_Gio,2023,3,22,27.6,79,0,8.1
Can_Gio,2023,3,23,27.9,76,0,8.9
Can_Gio,2023,3,24,27.9,81,0,5
Can_Gio,2023,3,25,27.6,78,0,7.3
Can_Gio,2023,3,26,27.5,80,0,9.3
Can_Gio,2023,3,27,28,80,0,10.1
Can_Gio,2023,3,28,28.9,78,0,9.4
Can_Gio,2023,3,29,28.8,71,0,10
Can_Gio,2023,3,30,28.3,77,0,8
Can_Gio,2023,3,31,27.8,78,0,6.3
Can_Gio,2023,4,1,27.7,82,0,4.4
Can_Gio,2023,4,2,27.9,80,0,9.3
Can_Gio,2023,4,3,28.5,79,0,4.8
Can_Gio,2023,4,4,28.7,78,0,9.7
Can_Gio,2023,4,5,29,77,1.2,9.9
Can_Gio,2023,4,6,29.1,80,0,10
Can_Gio,2023,4,7,29.1,75,0,9.5
Can_Gio,2023,4,8,29.6,72,0,10.6
Can_Gio,2023,4,9,29.8,74,0,7.9
Can_Gio,2023,4,10,29.4,75,0,3.2
Can_Gio,2023,4,11,28.9,78,0,4
Can_Gio,2023,4,12,28.8,81,0,3.3
Can_Gio,2023,4,13,29.9,78,0,5.6
Can_Gio,2023,4,14,30,80,0,4.6
Can_Gio,2023,4,15,30,81,19.3,3.1
Can_Gio,2023,4,16,28,86,0,3
Can_Gio,2023,4,17,28.9,83,0,5.3
Can_Gio,2023,4,18,29.3,77,0,6.6
Can_Gio,2023,4,19,29,82,0,3.9
Can_Gio,2023,4,20,30.1,76,0.1,7.7
Can_Gio,2023,4,21,30.2,80,0.2,7.4
Can_Gio,2023,4,22,30.4,80,0,7.5
Can_Gio,2023,4,23,30.1,75,0,10.7
Can_Gio,2023,4,24,30.2,76,0,9.1
Can_Gio,2023,4,25,30.6,72,0,9.6
Can_Gio,2023,4,26,30.3,69,0,3.3
Can_Gio,2023,4,27,30.6,68,0,7.2
Can_Gio,2023,4,28,30.3,71,0,7.2
Can_Gio,2023,4,29,30.3,74,0,4.6
Can_Gio,2023,4,30,30.1,75,3.4,4.9
Can_Gio,2023,5,1,29.5,74,0,8.9
Can_Gio,2023,5,2,30.7,66,0,8.2
Can_Gio,2023,5,3,30.8,70,0,10
Can_Gio,2023,5,4,30.6,74,0,10.1
Can_Gio,2023,5,5,30.6,76,0,6.6
Can_Gio,2023,5,6,31.4,74,0,10.5
Can_Gio,2023,5,7,30.5,80,0,1.6
Can_Gio,2023,5,8,29.1,83,33.7,1.5
Can_Gio,2023,5,9,27.6,86,1.7,4.1
Can_Gio,2023,5,10,29.2,81,0,7.3
Can_Gio,2023,5,11,29.9,80,0,5.9
Can_Gio,2023,5,12,29.3,81,0,7.8
Can_Gio,2023,5,13,29.9,78,0.2,9.2
Can_Gio,2023,5,14,30.4,74,0.9,10.9
Can_Gio,2023,5,15,29,80,26.5,7.8
Can_Gio,2023,5,16,28.8,86,41.2,4.6
Can_Gio,2023,5,17,28.5,82,0.5,4.5
Can_Gio,2023,5,18,29.1,82,0,7.4
Can_Gio,2023,5,19,30.7,78,0,9.8
Can_Gio,2023,5,20,29.8,79,0.7,0.3
Can_Gio,2023,5,21,27,94,32.1,3.5
Can_Gio,2023,5,22,28.5,84,6,6.8
Can_Gio,2023,5,23,28.4,86,38.1,9
Can_Gio,2023,5,24,28.6,87,8.8,6
Can_Gio,2023,5,25,28.3,87,32.8,2.5
Can_Gio,2023,5,26,26.9,91,8.5,3.7
Can_Gio,2023,5,27,25.9,92,24.2,0.9
Can_Gio,2023,5,28,27.1,86,0.1,5.6
Can_Gio,2023,5,29,27.5,87,15.7,4.6
Can_Gio,2023,5,30,28.4,84,0.3,4.4
Can_Gio,2023,5,31,27.9,88,2.5,4.4
Can_Gio,2023,6,1,29.3,81,0.5,8.2
Can_Gio,2023,6,2,29.6,80,0.2,6.6
Can_Gio,2023,6,3,29.8,80,0,9.1
Can_Gio,2023,6,4,28.8,85,17.3,7.9
Can_Gio,2023,6,5,27.8,86,11.7,7.7
Can_Gio,2023,6,6,27.1,88,3.3,1.6
Can_Gio,2023,6,7,27.2,88,0.4,2
Can_Gio,2023,6,8,28.1,84,0,2
Can_Gio,2023,6,9,28.2,81,0,1
Can_Gio,2023,6,10,27.7,88,2.3,4.2
Can_Gio,2023,6,11,27.8,83,22.1,7.9
Can_Gio,2023,6,12,28,84,21.4,6.1
Can_Gio,2023,6,13,26.9,88,22.2,1.8
Can_Gio,2023,6,14,29,83,0.1,7.2
Can_Gio,2023,6,15,29.5,77,0,7.7
Can_Gio,2023,6,16,29.3,80,2,6.6
Can_Gio,2023,6,17,26.8,88,21.6,2.2
Can_Gio,2023,6,18,28.1,82,0,10
Can_Gio,2023,6,19,29.3,82,0,10.8
Can_Gio,2023,6,20,30.1,75,0,11.6
Can_Gio,2023,6,21,29.8,79,0.2,6.4
Can_Gio,2023,6,22,28.9,81,19.2,10.1
Can_Gio,2023,6,23,28.2,82,0.4,9.4
Can_Gio,2023,6,24,29,84,8.9,7.8
Can_Gio,2023,6,25,27.3,88,0.6,4.5
Can_Gio,2023,6,26,27.9,82,5.3,9.1
Can_Gio,2023,6,27,28.5,81,2.3,8.4
Can_Gio,2023,6,28,28.6,84,8.9,5.4
Can_Gio,2023,6,29,28.4,84,10.8,7.8
Can_Gio,2023,6,30,28.8,84,4.2,8.7
Can_Gio,2023,7,1,27.8,89,13.3,3.1
Can_Gio,2023,7,2,27,90,5.7,0.7
