Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Con_Vanh,2023,1,1,15.7,74.0,0.0,2.3
Con_Vanh,2023,1,2,16.5,93.0,1.1,0.0
Con_Vanh,2023,1,3,15.5,90.0,1.7,0.0
Con_Vanh,2023,1,4,17.4,86.0,0.0,0.0
Con_Vanh,2023,1,5,18.2,88.0,0.0,0.1
Con_Vanh,2023,1,6,19.3,76.0,0.0,0.0
Con_Vanh,2023,1,7,17.8,63.0,0.0,2.7
Con_Vanh,2023,1,8,18.7,80.0,0.0,0.0
Con_Vanh,2023,1,9,19.4,89.0,2.5,0.1
Con_Vanh,2023,1,10,18.9,98.0,21.0,0.0
Con_Vanh,2023,1,11,19.2,96.0,3.0,0.0
Con_Vanh,2023,1,12,19.8,93.0,2.5,0.0
Con_Vanh,2023,1,13,21.5,90.0,0.2,5.7
Con_Vanh,2023,1,14,22.9,86.0,0.0,9.3
Con_Vanh,2023,1,15,20.5,86.0,0.0,0.7
Con_Vanh,2023,1,16,13.9,73.0,0.0,0.0
Con_Vanh,2023,1,17,12.8,76.0,0.0,0.0
Con_Vanh,2023,1,18,14.4,64.0,0.0,0.0
Con_Vanh,2023,1,19,15.5,79.0,0.0,0.0
Con_Vanh,2023,1,20,15.6,69.0,0.0,2.4
Con_Vanh,2023,1,21,16.1,81.0,0.0,9.6
Con_Vanh,2023,1,22,18.2,90.0,0.0,0.0
Con_Vanh,2023,1,23,19.8,91.0,0.0,1.4
Con_Vanh,2023,1,24,16.0,68.0,0.0,0.0
Con_Vanh,2023,1,25,13.7,70.0,0.0,8.9
Con_Vanh,2023,1,26,16.5,88.0,0.0,0.3
Con_Vanh,2023,1,27,15.1,78.0,1.1,0.3
Con_Vanh,2023,1,28,14.4,56.0,0.0,6.9
Con_Vanh,2023,1,29,14.4,60.0,0.0,8.3
Con_Vanh,2023,1,30,14.8,69.0,0.0,9.9
Con_Vanh,2023,1,31,15.4,82.0,0.0,9.8
Con_Vanh,2023,2,1,18.6,91.0,0.0,0.4
Con_Vanh,2023,2,2,20.1,94.0,0.6,0.1
Con_Vanh,2023,2,3,19.9,97.0,5.5,0.0
Con_Vanh,2023,2,4,19.7,96.0,2.1,0.0
Con_Vanh,2023,2,5,19.2,97.0,1.4,0.0
Con_Vanh,2023,2,6,19.3,95.0,0.1,0.0
Con_Vanh,2023,2,7,20.3,94.0,0.4,0.0
Con_Vanh,2023,2,8,20.5,94.0,0.9,0.0
Con_Vanh,2023,2,9,21.4,96.0,2.8,0.0
Con_Vanh,2023,2,10,21.4,96.0,0.0,0.0
Con_Vanh,2023,2,11,21.8,98.0,1.0,0.0
Con_Vanh,2023,2,12,23.1,93.0,0.0,0.0
Con_Vanh,2023,2,13,23.4,92.0,0.1,0.1
Con_Vanh,2023,2,14,18.6,84.0,0.0,0.0
Con_Vanh,2023,2,15,16.7,74.0,0.0,0.0
Con_Vanh,2023,2,16,16.1,81.0,0.0,0.0
Con_Vanh,2023,2,17,17.3,86.0,0.0,0.0
Con_Vanh,2023,2,18,18.8,91.0,0.0,2.0
Con_Vanh,2023,2,19,21.4,82.0,0.0,0.1
Con_Vanh,2023,2,20,19.9,78.0,0.0,4.8
Con_Vanh,2023,2,21,19.9,83.0,0.0,2.2
Con_Vanh,2023,2,22,19.6,81.0,0.0,4.1
Con_Vanh,2023,2,23,19.7,83.0,0.0,4.6
Con_Vanh,2023,2,24,19.8,85.0,0.7,0.0
Con_Vanh,2023,2,25,18.6,63.0,0.0,5.9
Con_Vanh,2023,2,26,16.5,75.0,0.0,9.6
Con_Vanh,2023,2,27,16.9,74.0,0.0,4.9
Con_Vanh,2023,2,28,18.6,82.0,0.0,4.9
Con_Vanh,2023,3,1,19.4,88.0,0.0,0.0
Con_Vanh,2023,3,2,21.6,76.0,0.0,7.9
Con_Vanh,2023,3,3,20.2,85.0,0.0,0.0
Con_Vanh,2023,3,4,20.5,80.0,0.0,2.8
Con_Vanh,2023,3,5,20.3,82.0,0.0,7.9
Con_Vanh,2023,3,6,20.5,89.0,0.0,3.0
Con_Vanh,2023,3,7,21.2,82.0,0.0,6.1
