Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Da Nang,2023,1,1,20.9,76,0,0
Da Nang,2023,1,2,20.8,81,2.3,0
Da Nang,2023,1,3,20.4,89,4.3,0
Da Nang,2023,1,4,20.6,88,3.9,0.2
Da Nang,2023,1,5,21.5,90,6,0
Da Nang,2023,1,6,21.4,82,4.7,0
Da Nang,2023,1,7,20.4,79,1.3,0
Da Nang,2023,1,8,21.3,82,0.3,0
Da Nang,2023,1,9,22,82,0.4,0
Da Nang,2023,1,10,22.3,82,0,0
Da Nang,2023,1,11,23.1,80,0,6.2
Da Nang,2023,1,12,23.5,82,0,3.2
Da Nang,2023,1,13,24,85,0,5.5
Da Nang,2023,1,14,24.4,79,0,9.3
Da Nang,2023,1,15,24,81,0,9.4
Da Nang,2023,1,16,21.5,88,6.8,0
Da Nang,2023,1,17,21,78,2.2,0.3
Da Nang,2023,1,18,19.5,88,1,0
Da Nang,2023,1,19,20.3,82,0,1
Da Nang,2023,1,20,21.2,77,0,3.4
Da Nang,2023,1,21,21.9,78,0,0.8
Da Nang,2023,1,22,22.9,82,0,5.1
Da Nang,2023,1,23,24.2,84,0,0.1
Da Nang,2023,1,24,21.5,90,55.3,0
Da Nang,2023,1,25,18.2,86,5.6,0
Da Nang,2023,1,26,20.1,82,0,0.4
Da Nang,2023,1,27,20.7,90,44.1,0
Da Nang,2023,1,28,17.6,93,53.1,0
Da Nang,2023,1,29,17.9,80,0.4,0.8
Da Nang,2023,1,30,17.9,73,0,3.7
Da Nang,2023,1,31,20,72,0,3.9
Da Nang,2023,2,1,22.1,79,0,8.8
Da Nang,2023,2,2,23,92,5.2,0
Da Nang,2023,2,3,24.6,88,0,6.4
Da Nang,2023,2,4,24.9,85,0,5
Da Nang,2023,2,5,25,84,0,7
Da Nang,2023,2,6,25.1,82,0,6.4
Da Nang,2023,2,7,25.1,85,0,6.6
Da Nang,2023,2,8,25.4,86,0,8
Da Nang,2023,2,9,25.5,84,0,8
Da Nang,2023,2,10,25.8,82,0,8.7
Da Nang,2023,2,11,25.3,84,0,8
Da Nang,2023,2,12,25.5,84,0,8.4
Da Nang,2023,2,13,25.7,85,0,8.8
Da Nang,2023,2,14,25.5,86,21.3,2.6
Da Nang,2023,2,15,21.4,91,40.9,0
Da Nang,2023,2,16,23.7,77,0.1,4.6
Da Nang,2023,2,17,23,77,0,4.6
Da Nang,2023,2,18,23.1,79,0,7.8
Da Nang,2023,2,19,24,79,0.6,8.3
Da Nang,2023,2,20,23.6,76,0.4,0.2
Da Nang,2023,2,21,22.9,80,0.9,2.8
Da Nang,2023,2,22,22.6,80,2.2,0
Da Nang,2023,2,23,23.1,80,0,4.8
Da Nang,2023,2,24,21.3,81,0,4.3
Da Nang,2023,2,25,21.8,84,13,0
Da Nang,2023,2,26,22.7,72,1.3,0.9
Da Nang,2023,2,27,20.8,85,6.1,0
Da Nang,2023,2,28,20.5,89,2.4,0
Da Nang,2023,3,1,22,84,0,1.5
Da Nang,2023,3,2,22,82,0.3,3.8
Da Nang,2023,3,3,22.4,78,0.2,9.4
Da Nang,2023,3,4,23.3,78,0,9.1
Da Nang,2023,3,5,22.9,77,0.3,7.8
Da Nang,2023,3,6,22.7,77,0,9.6
Da Nang,2023,3,7,22.6,77,1,7.8
Da Nang,2023,3,8,22.4,77,0,9.2
Da Nang,2023,3,9,23.2,78,0.5,0.3
Da Nang,2023,3,10,22.5,77,0,9.9
Da Nang,2023,3,11,23.6,77,0,6.7
Da Nang,2023,3,12,23.9,76,0,4.5
Da Nang,2023,3,13,23.6,84,12.7,2.3
Da Nang,2023,3,14,22.5,85,2.6,0
Da Nang,2023,3,15,23.4,82,0,8.1
Da Nang,2023,3,16,25.2,80,0.2,7.8
Da Nang,2023,3,17,24.9,79,0,8.2
Da Nang,2023,3,18,25.1,78,0,7.2
Da Nang,2023,3,19,25.3,80,0,0.4
Da Nang,2023,3,20,25.9,83,0,6.9
Da Nang,2023,3,21,26.6,83,0,8.4
Da Nang,2023,3,22,27.3,84,0,8.5
Da Nang,2023,3,23,27.1,86,0,7.1
Da Nang,2023,3,24,27,86,0,7.8
Da Nang,2023,3,25,26.6,85,0,6.3
Da Nang,2023,3,26,26.8,83,0,4.4
Da Nang,2023,3,27,27,82,0,2.5
Da Nang,2023,3,28,25,79,0,1.7
Da Nang,2023,3,29,24.8,80,0,6.7
