Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Dong Hoi,2023,1,1,16.8,82,0,0
Dong Hoi,2023,1,2,17.2,83,0,0
Dong Hoi,2023,1,3,16.8,96,1.7,0
Dong Hoi,2023,1,4,17.9,85,0,0
Dong Hoi,2023,1,5,18.6,88,0.2,0
Dong Hoi,2023,1,6,19.9,85,9.2,0
Dong Hoi,2023,1,7,19.1,76,0,0.8
Dong Hoi,2023,1,8,18.9,74,0,0
Dong Hoi,2023,1,9,19.3,87,0.2,0
Dong Hoi,2023,1,10,20,90,0.2,0
Dong Hoi,2023,1,11,20.4,90,0,0
Dong Hoi,2023,1,12,20.1,94,3.5,0
Dong Hoi,2023,1,13,21.2,92,0,7.3
Dong Hoi,2023,1,14,22.8,83,0,9.8
Dong Hoi,2023,1,15,21.4,88,0,8.5
Dong Hoi,2023,1,16,18.2,90,2.6,0
Dong Hoi,2023,1,17,15.6,92,3.4,0
Dong Hoi,2023,1,18,14.8,90,0.3,0
Dong Hoi,2023,1,19,15.7,86,0,0.6
Dong Hoi,2023,1,20,17.3,81,0,1.3
Dong Hoi,2023,1,21,18.4,79,0,0.4
Dong Hoi,2023,1,22,20.3,88,0,4.6
Dong Hoi,2023,1,23,20.6,91,0,0
Dong Hoi,2023,1,24,18.5,79,2.4,0
Dong Hoi,2023,1,25,15.7,72,0,0
Dong Hoi,2023,1,26,17.1,88,0,5.9
Dong Hoi,2023,1,27,17.6,92,4.4,0
Dong Hoi,2023,1,28,15.1,74,0.3,1.2
Dong Hoi,2023,1,29,15.1,68,0,2.8
Dong Hoi,2023,1,30,15,72,0,10.3
Dong Hoi,2023,1,31,16.3,84,0,9.3
Dong Hoi,2023,2,1,19.1,88,0,6.3
Dong Hoi,2023,2,2,20.9,94,6.5,0
Dong Hoi,2023,2,3,20.9,95,7.2,0
Dong Hoi,2023,2,4,22,95,8.5,0.1
Dong Hoi,2023,2,5,23,92,0.1,0.4
Dong Hoi,2023,2,6,23.3,91,0,1.6
Dong Hoi,2023,2,7,23,92,0,1.3
Dong Hoi,2023,2,8,23.7,92,0,0.2
Dong Hoi,2023,2,9,23.8,92,0.1,2.8
Dong Hoi,2023,2,10,24,92,0,2.3
Dong Hoi,2023,2,11,23.7,92,0,5.1
Dong Hoi,2023,2,12,24.4,89,0,8.1
Dong Hoi,2023,2,13,24.1,90,0,9.5
Dong Hoi,2023,2,14,21.5,94,7.2,0
Dong Hoi,2023,2,15,17,96,6.1,0
Dong Hoi,2023,2,16,16.7,89,0.2,0
Dong Hoi,2023,2,17,18.4,82,0,0.6
Dong Hoi,2023,2,18,19.4,90,0,0
Dong Hoi,2023,2,19,21,91,5,0.3
Dong Hoi,2023,2,20,20.2,86,0,0.4
Dong Hoi,2023,2,21,19.2,88,0.5,0
Dong Hoi,2023,2,22,20.5,91,0,6.3
Dong Hoi,2023,2,23,21.1,90,0.2,7.6
Dong Hoi,2023,2,24,20.8,88,0,4.7
Dong Hoi,2023,2,25,19.7,73,0,0
Dong Hoi,2023,2,26,19,77,0.8,0
Dong Hoi,2023,2,27,17.5,77,0,0
Dong Hoi,2023,2,28,19.1,87,0,0
Dong Hoi,2023,3,1,20.2,90,0,1.5
Dong Hoi,2023,3,2,21.2,86,0,7.6
Dong Hoi,2023,3,3,20.5,90,0,7.3
Dong Hoi,2023,3,4,21,88,2.7,0.1
Dong Hoi,2023,3,5,19.4,94,2.5,0
Dong Hoi,2023,3,6,20.3,89,0,4.4
Dong Hoi,2023,3,7,21.2,88,0,8.5
Dong Hoi,2023,3,8,21.6,88,0,9
Dong Hoi,2023,3,9,22.3,90,0,5.8
Dong Hoi,2023,3,10,21.6,86,0,8.4
Dong Hoi,2023,3,11,22.5,84,0,6.3
Dong Hoi,2023,3,12,21.3,93,2.2,0
Dong Hoi,2023,3,13,19.7,94,31.8,0
Dong Hoi,2023,3,14,19.7,78,0,5.5
Dong Hoi,2023,3,15,21.9,86,0,7
Dong Hoi,2023,3,16,23.8,90,0,4.2
Dong Hoi,2023,3,17,23.6,90,0,6.1
Dong Hoi,2023,3,18,23.9,87,0,7.9
Dong Hoi,2023,3,19,23.6,90,0,1.3
Dong Hoi,2023,3,20,24.5,90,0,7
Dong Hoi,2023,3,21,26.3,84,0,8.9
Dong Hoi,2023,3,22,29.1,74,0,8.5
Dong Hoi,2023,3,23,29.9,74,0,8.1
Dong Hoi,2023,3,24,27.8,83,0,8.9
Dong Hoi,2023,3,25,25.3,91,0,2
Dong Hoi,2023,3,26,24.7,95,6.5,0
Dong Hoi,2023,3,27,23.1,94,0.5,0
Dong Hoi,2023,3,28,21.3,90,0,0
Dong Hoi,2023,3,29,21.3,94,0,0
Dong Hoi,2023,3,30,22.4,94,0.2,1.6
Dong Hoi,2023,3,31,23.5,95,0.3,2.6
Dong Hoi,2023,4,1,24.4,91,0,2.3
Dong Hoi,2023,4,2,26.1,89,0,6.2
Dong Hoi,2023,4,3,26.9,84,0,8.7
Dong Hoi,2023,4,4,28.1,79,0,9.6
Dong Hoi,2023,4,5,30,74,0,9.8
Dong Hoi,2023,4,6,28.1,84,0,8.8
Dong Hoi,2023,4,7,24.8,94,2.8,0
Dong Hoi,2023,4,8,22.9,89,0.9,0
Dong Hoi,2023,4,9,22.6,81,0,0.6
Dong Hoi,2023,4,10,23.8,86,0,0
Dong Hoi,2023,4,11,25.1,88,0,6.1
Dong Hoi,2023,4,12,25.4,92,0.9,0
Dong Hoi,2023,4,13,26.3,90,0.1,2.4
Dong Hoi,2023,4,14,26.8,89,0,1.1
Dong Hoi,2023,4,15,24.7,95,37.5,0
Dong Hoi,2023,4,16,25.6,88,0,0
Dong Hoi,2023,4,17,26.1,89,0,8.2
Dong Hoi,2023,4,18,28.4,82,0,9.9
Dong Hoi,2023,4,19,31.5,70,0,9.8
Dong Hoi,2023,4,20,31.5,70,0,7.6
Dong Hoi,2023,4,21,30.5,74,0,9.7
Dong Hoi,2023,4,22,29.9,70,0,9.7
Dong Hoi,2023,4,23,28.1,73,0,9.7
Dong Hoi,2023,4,24,27.8,74,0,6.1
Dong Hoi,2023,4,25,26.7,87,2.5,4.7
Dong Hoi,2023,4,26,23.8,88,2.4,0
Dong Hoi,2023,4,27,24.7,81,0,6.5
Dong Hoi,2023,4,28,27.2,84,0,5.5
Dong Hoi,2023,4,29,26.8,86,17.9,2.3
Dong Hoi,2023,4,30,24.5,88,3.1,0.2
Dong Hoi,2023,5,1,25.2,80,0,6.2
Dong Hoi,2023,5,2,26.5,82,0,9.6
Dong Hoi,2023,5,3,27.6,86,0,9.7
Dong Hoi,2023,5,4,28.8,82,0,10.5
Dong Hoi,2023,5,5,32.4,66,0,10.7
Dong Hoi,2023,5,6,33.8,62,0,10.9
Dong Hoi,2023,5,7,33.9,62,0,9.3
Dong Hoi,2023,5,8,26.8,83,35.9,1
Dong Hoi,2023,5,9,27.5,83,0,5.6
Dong Hoi,2023,5,10,28,84,0,8.1
Dong Hoi,2023,5,11,26.8,90,10.1,0
Dong Hoi,2023,5,12,24.9,95,83.1,0
Dong Hoi,2023,5,13,25.3,80,0,1.4
Dong Hoi,2023,5,14,25.6,84,0,4.4
Dong Hoi,2023,5,15,26.6,84,0,7
Dong Hoi,2023,5,16,31.2,68,0,11.1
Dong Hoi,2023,5,17,33.1,59,0,11.3
Dong Hoi,2023,5,18,34,54,0,11.4
Dong Hoi,2023,5,19,33.8,56,0,11
Dong Hoi,2023,5,20,31.8,75,0,10.8
Dong Hoi,2023,5,21,31.6,72,0,10.9
Dong Hoi,2023,5,22,32.8,69,0,10.8
Dong Hoi,2023,5,23,33.3,62,0,8.1
Dong Hoi,2023,5,24,30.3,74,4.5,7.9
Dong Hoi,2023,5,25,29.3,75,0,9.4
Dong Hoi,2023,5,26,29.3,80,0,8.2
Dong Hoi,2023,5,27,28.7,84,0,11.2
