Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Ha Long,2023,1,1,15.4,72,0,2.8
Ha Long,2023,1,2,15.8,87,2,0
Ha Long,2023,1,3,15.3,84,2.4,0
Ha Long,2023,1,4,17.2,76,0,0.1
Ha Long,2023,1,5,18,84,0,0
Ha Long,2023,1,6,19.7,64,0,1.7
Ha Long,2023,1,7,18.5,54,0,0.8
Ha Long,2023,1,8,18.1,73,0,0
Ha Long,2023,1,9,18.2,88,5.2,0
Ha Long,2023,1,10,18.5,92,24.2,0
Ha Long,2023,1,11,18.5,94,6.5,0
Ha Long,2023,1,12,18.8,93,2.1,0
Ha Long,2023,1,13,20.2,91,0.9,3
Ha Long,2023,1,14,22.2,88,0,7.8
Ha Long,2023,1,15,19.3,80,0,2.1
Ha Long,2023,1,16,12.3,64,0,0
Ha Long,2023,1,17,12.5,68,0,0
Ha Long,2023,1,18,13.5,58,0,0
Ha Long,2023,1,19,14.5,66,0,0
Ha Long,2023,1,20,16,64,0,8
Ha Long,2023,1,21,15.9,79,0,5.8
Ha Long,2023,1,22,17.9,86,0,1
Ha Long,2023,1,23,19.5,88,0,3
Ha Long,2023,1,24,15.6,52,0,1.3
Ha Long,2023,1,25,13,60,0,8.3
Ha Long,2023,1,26,14.4,83,0,0.1
Ha Long,2023,1,27,14.8,67,0,0
Ha Long,2023,1,28,13.8,43,0,6
Ha Long,2023,1,29,13,56,0,7
Ha Long,2023,1,30,13.4,61,0,8.3
Ha Long,2023,1,31,14.5,74,0,8.2
Ha Long,2023,2,1,19.2,86,0,1.4
Ha Long,2023,2,2,20.1,90,0,1.7
Ha Long,2023,2,3,19.9,93,5.5,0
Ha Long,2023,2,4,19.2,96,2.9,0
Ha Long,2023,2,5,19.1,94,6.6,0
Ha Long,2023,2,6,19.4,93,0,0
Ha Long,2023,2,7,20.4,94,0,2.1
Ha Long,2023,2,8,20.4,94,6,0.2
Ha Long,2023,2,9,20.6,96,18.2,0
Ha Long,2023,2,10,21.3,94,0,0
Ha Long,2023,2,11,21.8,93,0.9,0.3
Ha Long,2023,2,12,22.4,96,1,0
Ha Long,2023,2,13,23.6,91,0,2.7
Ha Long,2023,2,14,18.1,76,0,0
Ha Long,2023,2,15,16,68,0,0
Ha Long,2023,2,16,16.7,68,0,0
Ha Long,2023,2,17,18.5,81,0,3.1
Ha Long,2023,2,18,19.8,82,0,3.2
Ha Long,2023,2,19,21,78,0,3
Ha Long,2023,2,20,19.8,68,0,3.7
Ha Long,2023,2,21,20.5,73,0,3.9
Ha Long,2023,2,22,20,71,0,4.3
Ha Long,2023,2,23,19.7,76,0,7.2
Ha Long,2023,2,24,19.5,75,0,0
Ha Long,2023,2,25,18.5,54,0,7
Ha Long,2023,2,26,17,57,0,8.1
Ha Long,2023,2,27,17.6,64,0,8
Ha Long,2023,2,28,17.8,79,0,8
Ha Long,2023,3,1,19.1,85,0,1
Ha Long,2023,3,2,21.8,68,0,7.7
Ha Long,2023,3,3,21.2,73,0,6.1
Ha Long,2023,3,4,20,80,0,4.5
Ha Long,2023,3,5,20,79,0,6.7
Ha Long,2023,3,6,20.3,75,0,5.9
Ha Long,2023,3,7,20.7,74,0,5.5
Ha Long,2023,3,8,21.6,80,0,3.6
Ha Long,2023,3,9,21.9,81,0,6.6
Ha Long,2023,3,10,21.4,81,0,7.7
Ha Long,2023,3,11,21.7,86,0,0
Ha Long,2023,3,12,22.5,86,0,0.9
Ha Long,2023,3,13,19,65,0,0
Ha Long,2023,3,14,20.2,73,0,5.9
Ha Long,2023,3,15,21.6,85,0,0
Ha Long,2023,3,16,22.5,86,0,0.9
Ha Long,2023,3,17,22.4,86,0,0
Ha Long,2023,3,18,22.4,89,0,1.8
Ha Long,2023,3,19,22.9,87,0,1.6
Ha Long,2023,3,20,22.6,94,2.5,0
Ha Long,2023,3,21,23.2,97,3.4,0
Ha Long,2023,3,22,24.8,90,0,1.6
Ha Long,2023,3,23,25.8,86,0,6.2
Ha Long,2023,3,24,25.8,86,0.9,0
Ha Long,2023,3,25,24.4,90,0.9,0
Ha Long,2023,3,26,21.4,84,0,0
Ha Long,2023,3,27,19,84,0.1,0
Ha Long,2023,3,28,17.6,90,0.6,0
Ha Long,2023,3,29,18.3,94,4.8,0
Ha Long,2023,3,30,19.2,90,0.1,0
Ha Long,2023,3,31,20.8,86,0,0
Ha Long,2023,4,1,21,95,2.8,0
Ha Long,2023,4,2,24,91,0.4,0
Ha Long,2023,4,3,24.8,92,0,0.4
Ha Long,2023,4,4,25,94,1,0
Ha Long,2023,4,5,25.9,89,0,1.6
Ha Long,2023,4,6,25.9,88,0,1.4
Ha Long,2023,4,7,23,71,0,0
Ha Long,2023,4,8,20,84,7.3,0
Ha Long,2023,4,9,18.4,91,1.2,0
Ha Long,2023,4,10,21,96,1.5,0
Ha Long,2023,4,11,23.2,94,3.5,0
Ha Long,2023,4,12,23.9,94,0.1,0
Ha Long,2023,4,13,24.4,92,0,0
Ha Long,2023,4,14,24.1,94,0.4,0
