Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Ly Son,2023,1,1,20.8,94,9.2,0
Ly Son,2023,1,2,21,95,17,0
Ly Son,2023,1,3,22.2,94,36.6,0.2
Ly Son,2023,1,4,22.8,92,3.4,0
Ly Son,2023,1,5,23.6,86,0.1,0
Ly Son,2023,1,6,22.1,90,37.2,0
Ly Son,2023,1,7,20.4,94,20.3,0
Ly Son,2023,1,8,20.8,98,34.5,0
Ly Son,2023,1,9,21.9,94,6.7,0.1
Ly Son,2023,1,10,22.3,93,1.3,0
Ly Son,2023,1,11,22.8,91,0,1.3
Ly Son,2023,1,12,23.6,91,0,9.1
Ly Son,2023,1,13,24.2,93,0,7.2
Ly Son,2023,1,14,24.1,96,0,5.3
Ly Son,2023,1,15,23.5,93,0,6.2
Ly Son,2023,1,16,22.5,96,86.6,0
Ly Son,2023,1,17,21.3,95,66,0
Ly Son,2023,1,18,23,82,0,1.8
Ly Son,2023,1,19,22.4,82,0,1.6
Ly Son,2023,1,20,22.7,78,0,0.2
Ly Son,2023,1,21,21.5,91,0.2,0
Ly Son,2023,1,22,22.9,90,0,4
Ly Son,2023,1,23,23.6,94,0,4
Ly Son,2023,1,24,23,89,4.7,0.3
Ly Son,2023,1,25,22.4,80,3.7,0
Ly Son,2023,1,26,21.1,89,0.4,2.3
Ly Son,2023,1,27,22.5,90,29.8,1.5
Ly Son,2023,1,28,22.1,81,1.5,1.7
Ly Son,2023,1,29,21.4,74,0.1,3.9
Ly Son,2023,1,30,21,66,0,6.9
Ly Son,2023,1,31,20.9,80,0,0.4
Ly Son,2023,2,1,22.1,89,0,8.1
Ly Son,2023,2,2,23.8,96,2.1,1.7
Ly Son,2023,2,3,24.8,93,0,5.5
Ly Son,2023,2,4,24.8,91,0,5.7
Ly Son,2023,2,5,24.4,91,0,10.1
Ly Son,2023,2,6,24.4,92,0,8.1
Ly Son,2023,2,7,24.9,92,0,9
Ly Son,2023,2,8,25.1,93,0,9.9
Ly Son,2023,2,9,25.4,91,0,7.9
Ly Son,2023,2,10,25.2,90,0,9.1
Ly Son,2023,2,11,25.2,93,0,9.9
Ly Son,2023,2,12,25.4,92,0,9.9
Ly Son,2023,2,13,25.3,94,0,10
Ly Son,2023,2,14,25.4,93,6.2,8.7
Ly Son,2023,2,15,23.8,92,20.7,0
Ly Son,2023,2,16,24.5,78,0.1,9.1
Ly Son,2023,2,17,23.6,82,2.2,3
Ly Son,2023,2,18,22.6,91,0,0.5
Ly Son,2023,2,19,24.1,82,1.2,7.2
Ly Son,2023,2,20,24,82,0.1,6.6
Ly Son,2023,2,21,24.4,77,0.9,6.2
Ly Son,2023,2,22,23.3,85,11.7,0
Ly Son,2023,2,23,23.9,80,1.1,2.1
Ly Son,2023,2,24,23.7,78,0,10.1
Ly Son,2023,2,25,24.1,75,0,5.6
Ly Son,2023,2,26,23.6,77,0,8.8
Ly Son,2023,2,27,22.4,86,26.1,0
Ly Son,2023,2,28,22.3,91,19,0
Ly Son,2023,3,1,22.9,88,8.2,1
Ly Son,2023,3,2,24.1,76,0,10.3
Ly Son,2023,3,3,24.3,78,0.3,8.1
Ly Son,2023,3,4,24.5,76,0.2,9.5
Ly Son,2023,3,5,24.1,73,0,7.2
Ly Son,2023,3,6,24.4,73,0.2,9.5
Ly Son,2023,3,7,24.6,72,0,10.2
Ly Son,2023,3,8,23.8,79,0,7.9
Ly Son,2023,3,9,24.3,76,0.6,5.4
Ly Son,2023,3,10,24.2,77,0,8.8
Ly Son,2023,3,11,24.8,76,0,10.4
Ly Son,2023,3,12,24.6,80,0.2,5.4
Ly Son,2023,3,13,25,75,2.1,7.2
Ly Son,2023,3,14,24.4,81,2.8,3
Ly Son,2023,3,15,25.2,79,0,10.2
Ly Son,2023,3,16,25.1,82,0,9.5
Ly Son,2023,3,17,25.5,79,0,10.7
Ly Son,2023,3,18,25.4,80,0,10.7
Ly Son,2023,3,19,25.6,80,0,9.9
Ly Son,2023,3,20,25.8,86,0,9
Ly Son,2023,3,21,26.3,90,0,9.5
Ly Son,2023,3,22,26.3,92,0,7.6
Ly Son,2023,3,23,26.4,92,0,8.2
Ly Son,2023,3,24,26.1,90,0,8.8
Ly Son,2023,3,25,26.1,89,0,10.5
Ly Son,2023,3,26,26.3,91,0,8.9
Ly Son,2023,3,27,26.4,93,0,8.6
Ly Son,2023,3,28,25.5,90,0,5.1
Ly Son,2023,3,29,24.5,91,0,2.6
Ly Son,2023,3,30,25.5,91,0,8
Ly Son,2023,3,31,26.3,90,0,9.3
Ly Son,2023,4,1,26.9,90,0,8.9
Ly Son,2023,4,2,26.8,88,0,9.8
Ly Son,2023,4,3,27.2,92,0,9.6
Ly Son,2023,4,4,27.2,90,0,10.3
Ly Son,2023,4,5,27.2,91,0,9.8
Ly Son,2023,4,6,27.1,93,0,10
Ly Son,2023,4,7,27.2,92,0,10.7
Ly Son,2023,4,8,26.9,90,0,9.8
Ly Son,2023,4,9,25.4,90,0.2,3.7
Ly Son,2023,4,10,26,90,0,6.9
Ly Son,2023,4,11,26.8,90,0,8.7
Ly Son,2023,4,12,26.9,94,0,4.3
Ly Son,2023,4,13,27.2,94,0,8.3
Ly Son,2023,4,14,27.4,92,0,4.9
Ly Son,2023,4,15,27.4,94,0,3.7
Ly Son,2023,4,16,27.5,93,0,2.6
Ly Son,2023,4,17,27.2,94,0,3.4
Ly Son,2023,4,18,27.5,88,0,8.5
Ly Son,2023,4,19,27.3,88,0,9.1
Ly Son,2023,4,20,27.3,90,0,10
Ly Son,2023,4,21,27.3,92,6.5,9.5
Ly Son,2023,4,22,26.9,91,0,4.5
Ly Son,2023,4,23,26.9,94,0,9.9
Ly Son,2023,4,24,27.4,90,0,11.3
Ly Son,2023,4,25,27.3,91,0,9.8
Ly Son,2023,4,26,27.2,90,8,4.5
Ly Son,2023,4,27,27,88,3,4.6
Ly Son,2023,4,28,27.6,88,0,10.1
Ly Son,2023,4,29,27.8,88,0,9.9
Ly Son,2023,4,30,27.5,88,0,9.4
Ly Son,2023,5,1,27.1,86,0,11.1
Ly Son,2023,5,2,28.4,84,0,11.6
Ly Son,2023,5,3,28.2,88,0,10.3
Ly Son,2023,5,4,28.7,85,0,11.8
Ly Son,2023,5,5,28.7,90,0,11.3
Ly Son,2023,5,6,29,92,0,10.7
Ly Son,2023,5,7,29,94,0,10.7
Ly Son,2023,5,8,27.7,91,0,4.6
Ly Son,2023,5,9,27.5,91,0,6
Ly Son,2023,5,10,27.7,91,0,4
Ly Son,2023,5,11,28.4,88,4.7,9.2
Ly Son,2023,5,12,28.6,90,1.1,7.1
Ly Son,2023,5,13,27.3,90,8.5,3.7
Ly Son,2023,5,14,27.3,86,0,6.4
Ly Son,2023,5,15,28.5,84,0,10.1
Ly Son,2023,5,16,29.4,89,0,11.5
Ly Son,2023,5,17,29.2,86,0,11.4
Ly Son,2023,5,18,30.2,84,0,11.6
Ly Son,2023,5,19,30,86,0,11.2
Ly Son,2023,5,20,29.8,91,0,9.9
Ly Son,2023,5,21,29.7,89,0,11.6
Ly Son,2023,5,22,29.8,86,0,11.7
Ly Son,2023,5,23,30.3,84,0,11.5
Ly Son,2023,5,24,29.1,83,0,10.1
Ly Son,2023,5,25,29.6,76,0,11.7
Ly Son,2023,5,26,29.5,84,0,11.1
Ly Son,2023,5,27,30,80,0.9,11.7
Ly Son,2023,5,28,29.6,82,5.1,10.7
Ly Son,2023,5,29,29.3,83,0,10.3
Ly Son,2023,5,30,29.7,83,0,9.8
Ly Son,2023,5,31,29.8,82,0,11
