Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Nha Trang,2023,1,1,24.5,73.0,0.0,0.8
Nha Trang,2023,1,2,24.8,81.0,2.7,0.5
Nha Trang,2023,1,3,25.2,78.0,3.2,1.4
Nha Trang,2023,1,4,24.8,81.0,1.3,0.0
Nha Trang,2023,1,5,24.1,84.0,17.4,0.0
Nha Trang,2023,1,6,23.3,83.0,37.5,0.0
Nha Trang,2023,1,7,21.3,92.0,30.8,0.0
Nha Trang,2023,1,8,23.0,86.0,8.2,0.0
Nha Trang,2023,1,9,23.1,94.0,45.6,0.0
Nha Trang,2023,1,10,23.7,92.0,19.6,0.0
Nha Trang,2023,1,11,24.7,82.0,0.0,7.2
Nha Trang,2023,1,12,25.1,85.0,0.0,6.0
Nha Trang,2023,1,13,25.6,83.0,2.8,6.8
Nha Trang,2023,1,14,26.1,86.0,1.2,8.7
Nha Trang,2023,1,15,24.8,86.0,0.0,9.1
Nha Trang,2023,1,16,25.0,76.0,0.0,8.5
Nha Trang,2023,1,17,25.5,71.0,0.5,1.7
Nha Trang,2023,1,18,24.7,67.0,0.0,0.0
Nha Trang,2023,1,19,24.5,69.0,0.0,0.4
Nha Trang,2023,1,20,24.8,70.0,0.0,0.3
Nha Trang,2023,1,21,24.8,75.0,0.0,0.0
Nha Trang,2023,1,22,25.4,78.0,0.0,3.3
Nha Trang,2023,1,23,26.1,78.0,0.0,5.8
Nha Trang,2023,1,24,25.2,84.0,4.1,3.7
Nha Trang,2023,1,25,23.8,73.0,4.0,3.4
Nha Trang,2023,1,26,23.6,71.0,0.0,1.7
Nha Trang,2023,1,27,24.6,76.0,0.0,0.6
Nha Trang,2023,1,28,23.5,75.0,2.3,3.8
Nha Trang,2023,1,29,23.0,66.0,0.0,0.1
Nha Trang,2023,1,30,22.7,62.0,0.0,7.8
Nha Trang,2023,1,31,23.9,68.0,0.0,0.4
Nha Trang,2023,2,1,24.3,79.0,0.2,0.0
Nha Trang,2023,2,2,24.7,87.0,0.8,0.0
Nha Trang,2023,2,3,26.3,83.0,0.0,7.6
Nha Trang,2023,2,4,26.2,78.0,0.0,8.1
Nha Trang,2023,2,5,25.4,80.0,0.0,8.9
