Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Phu Quoc,2023,1,1,27.4,52,0,4.9
Phu Quoc,2023,1,2,26.8,64,0,3.6
Phu Quoc,2023,1,3,28.1,66,0,8.3
Phu Quoc,2023,1,4,28,59,0,6.8
Phu Quoc,2023,1,5,27.7,58,0,0.7
Phu Quoc,2023,1,6,26.9,55,0,0.9
Phu Quoc,2023,1,7,26.5,56,0,2.4
Phu Quoc,2023,1,8,25.8,66,2.6,0
Phu Quoc,2023,1,9,27,75,0,8.4
Phu Quoc,2023,1,10,26.2,86,42.8,4.8
Phu Quoc,2023,1,11,26.5,84,6.4,4.2
Phu Quoc,2023,1,12,26.9,80,3.5,7.5
Phu Quoc,2023,1,13,25.5,88,1.5,4.1
Phu Quoc,2023,1,14,26.1,86,0,10.4
Phu Quoc,2023,1,15,26.4,86,0,10.2
Phu Quoc,2023,1,16,26.6,83,0,10.3
Phu Quoc,2023,1,17,26.1,84,0.3,6.2
Phu Quoc,2023,1,18,26.4,70,0,5.8
Phu Quoc,2023,1,19,28.1,55,0,8.3
Phu Quoc,2023,1,20,27.6,64,0,4.9
Phu Quoc,2023,1,21,28.5,63,0,10.6
Phu Quoc,2023,1,22,28.3,72,0,9.2
Phu Quoc,2023,1,23,27.5,79,0,8.7
Phu Quoc,2023,1,24,27,83,8.2,8.3
Phu Quoc,2023,1,25,26.6,60,0.7,10.2
Phu Quoc,2023,1,26,26.9,62,0,1.1
Phu Quoc,2023,1,27,25.5,74,0,6.1
Phu Quoc,2023,1,28,27.3,60,0,8.6
Phu Quoc,2023,1,29,26.5,56,0,4.9
Phu Quoc,2023,1,30,26,50,0,6.7
Phu Quoc,2023,1,31,25.8,66,0,9.9
Phu Quoc,2023,2,1,25.9,69,0,4.2
Phu Quoc,2023,2,2,27.8,77,0,4.2
Phu Quoc,2023,2,3,28.7,71,0,9.6
Phu Quoc,2023,2,4,28.8,69,0,10
Phu Quoc,2023,2,5,27.3,74,0,10.3
Phu Quoc,2023,2,6,27.3,76,0,8.4
Phu Quoc,2023,2,7,27.3,80,0,10.3
Phu Quoc,2023,2,8,27.8,76,2.7,9.3
Phu Quoc,2023,2,9,28.3,74,0.1,7.7
Phu Quoc,2023,2,10,27.9,72,0,9.7
Phu Quoc,2023,2,11,27,76,0,10
Phu Quoc,2023,2,12,27.6,78,0,7.7
Phu Quoc,2023,2,13,26.5,83,0,5.1
Phu Quoc,2023,2,14,27.4,78,0,7.5
Phu Quoc,2023,2,15,27.9,71,0.8,7
Phu Quoc,2023,2,16,27.9,69,0,9.3
Phu Quoc,2023,2,17,28.4,65,0,10
Phu Quoc,2023,2,18,27.5,78,0.4,6.7
Phu Quoc,2023,2,19,27.3,78,2.2,5.6
Phu Quoc,2023,2,20,26.6,86,14.6,0.4
Phu Quoc,2023,2,21,26.7,77,0,4.8
Phu Quoc,2023,2,22,26.6,77,0,6.4
Phu Quoc,2023,2,23,26.1,82,0,8.9
Phu Quoc,2023,2,24,27,82,13.2,5.8
Phu Quoc,2023,2,25,27,71,0,9.5
Phu Quoc,2023,2,26,27.2,59,0,9.9
Phu Quoc,2023,2,27,27.8,58,0,9
Phu Quoc,2023,2,28,27.4,65,0,5.6
Phu Quoc,2023,3,1,27.9,74,0,9.8
Phu Quoc,2023,3,2,28.7,74,0,9.6
Phu Quoc,2023,3,3,27.9,75,0,9.3
Phu Quoc,2023,3,4,26.4,70,0,9.4
Phu Quoc,2023,3,5,26.1,68,0,8.7
Phu Quoc,2023,3,6,25.9,68,0,8.7
Phu Quoc,2023,3,7,26.9,74,0,9.8
Phu Quoc,2023,3,8,26.8,72,0,9.4
Phu Quoc,2023,3,9,27.1,74,0.8,9.3
Phu Quoc,2023,3,10,26.4,78,0,9.9
Phu Quoc,2023,3,11,26.4,77,0,9.8
Phu Quoc,2023,3,12,27.3,72,0,9.6
Phu Quoc,2023,3,13,27.8,71,0,8.8
Phu Quoc,2023,3,14,27.6,71,0,10
Phu Quoc,2023,3,15,27.7,72,0,10
Phu Quoc,2023,3,16,27.8,73,0,9.2
Phu Quoc,2023,3,17,28.1,74,0,9.7
Phu Quoc,2023,3,18,28.1,76,0,9.2
Phu Quoc,2023,3,19,28.1,76,0,9.1
Phu Quoc,2023,3,20,27.9,79,0.1,9.5
Phu Quoc,2023,3,21,27.6,83,0,9.3
Phu Quoc,2023,3,22,27.5,82,0,8.7
Phu Quoc,2023,3,23,27.9,79,0,10.4
Phu Quoc,2023,3,24,27.6,83,0,10.2
Phu Quoc,2023,3,25,27.6,83,0,9.9
Phu Quoc,2023,3,26,28.2,80,0,10.5
Phu Quoc,2023,3,27,27.6,81,0,9.6
Phu Quoc,2023,3,28,29.2,79,0,10.1
Phu Quoc,2023,3,29,29,77,1,10.3
Phu Quoc,2023,3,30,28.1,80,0,10.2
Phu Quoc,2023,3,31,29.1,77,0,5.2
Phu Quoc,2023,4,1,29,78,0,9.6
Phu Quoc,2023,4,2,27.9,81,0,10
Phu Quoc,2023,4,3,28,78,0,9.5
Phu Quoc,2023,4,4,28.5,80,0,9.4
Phu Quoc,2023,4,5,29.6,79,1.3,8.5
Phu Quoc,2023,4,6,30,76,0,11.2
Phu Quoc,2023,4,7,30.1,77,0,10.2
Phu Quoc,2023,4,8,29.3,77,5.3,10.6
Phu Quoc,2023,4,9,29.8,74,0,10.5
Phu Quoc,2023,4,10,28.9,80,34.3,8.6
Phu Quoc,2023,4,11,29.5,81,4.7,10.4
Phu Quoc,2023,4,12,29.7,82,0,8.3
Phu Quoc,2023,4,13,30.6,80,0,8
Phu Quoc,2023,4,14,30.7,81,0,9.6
Phu Quoc,2023,4,15,30.9,82,0,7.2
Phu Quoc,2023,4,16,26.5,86,45.8,2.7
Phu Quoc,2023,4,17,28.6,82,0,6.6
Phu Quoc,2023,4,18,29.3,84,0,8.8
Phu Quoc,2023,4,19,29.5,82,0,9.7
Phu Quoc,2023,4,20,30.6,80,0,9.6
Phu Quoc,2023,4,21,30.5,82,0,6.7
Phu Quoc,2023,4,22,30.3,82,0,10.8
