Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Tien Yen,2023,1,1,14.2,76.0,0.0,4.2
Tien Yen,2023,1,2,15.4,89.0,2.5,0.0
Tien Yen,2023,1,3,15.4,86.0,2.6,0.0
Tien Yen,2023,1,4,16.8,83.0,0.0,0.1
Tien Yen,2023,1,5,17.9,88.0,0.0,0.0
Tien Yen,2023,1,6,18.9,68.0,0.0,5.0
Tien Yen,2023,1,7,17.0,64.0,0.0,2.3
Tien Yen,2023,1,8,16.5,88.0,0.6,0.0
Tien Yen,2023,1,9,18.0,94.0,11.4,0.4
Tien Yen,2023,1,10,18.5,98.0,19.1,0.0
Tien Yen,2023,1,11,18.3,98.0,8.3,0.0
Tien Yen,2023,1,12,19.1,94.0,4.5,0.0
Tien Yen,2023,1,13,21.1,90.0,0.1,5.7
Tien Yen,2023,1,14,21.8,88.0,0.0,6.9
Tien Yen,2023,1,15,18.0,82.0,0.0,0.0
Tien Yen,2023,1,16,12.0,64.0,0.0,0.0
Tien Yen,2023,1,17,11.8,74.0,0.0,0.0
Tien Yen,2023,1,18,13.0,72.0,0.0,0.0
Tien Yen,2023,1,19,13.0,77.0,0.0,2.6
Tien Yen,2023,1,20,13.9,69.0,0.0,9.4
Tien Yen,2023,1,21,15.8,76.0,0.0,5.1
Tien Yen,2023,1,22,17.4,85.0,0.0,0.2
Tien Yen,2023,1,23,18.8,90.0,0.0,1.1
Tien Yen,2023,1,24,15.1,48.0,0.0,3.4
Tien Yen,2023,1,25,10.4,74.0,0.0,9.3
Tien Yen,2023,1,26,12.7,91.0,0.0,0.0
Tien Yen,2023,1,27,14.1,72.0,0.0,0.0
Tien Yen,2023,1,28,12.3,65.0,0.0,7.7
Tien Yen,2023,1,29,11.5,66.0,0.0,7.8
Tien Yen,2023,1,30,11.5,69.0,0.0,9.5
Tien Yen,2023,1,31,12.7,84.0,0.0,8.6
Tien Yen,2023,2,1,18.3,90.0,0.0,0.0
Tien Yen,2023,2,2,19.4,95.0,0.0,0.0
Tien Yen,2023,2,3,19.5,94.0,3.4,0.0
Tien Yen,2023,2,4,18.6,97.0,6.5,0.0
Tien Yen,2023,2,5,18.1,97.0,13.4,0.0
Tien Yen,2023,2,6,18.2,98.0,3.6,0.0
Tien Yen,2023,2,7,19.2,98.0,1.0,0.0
Tien Yen,2023,2,8,19.7,96.0,11.7,0.0
Tien Yen,2023,2,9,20.7,96.0,5.4,0.0
Tien Yen,2023,2,10,20.0,100.0,1.3,0.0
Tien Yen,2023,2,11,20.3,97.0,0.4,0.0
Tien Yen,2023,2,12,22.7,96.0,0.0,0.0
Tien Yen,2023,2,13,24.0,88.0,0.0,0.0
Tien Yen,2023,2,14,17.5,76.0,0.0,0.0
Tien Yen,2023,2,15,15.8,76.0,0.0,0.0
Tien Yen,2023,2,16,16.5,76.0,0.0,1.3
Tien Yen,2023,2,17,17.6,79.0,0.0,6.0
Tien Yen,2023,2,18,18.6,88.0,0.0,0.1
Tien Yen,2023,2,19,20.6,79.0,0.0,2.4
Tien Yen,2023,2,20,18.5,78.0,0.0,5.6
Tien Yen,2023,2,21,18.4,79.0,0.0,3.4
Tien Yen,2023,2,22,19.5,76.0,0.0,2.0
Tien Yen,2023,2,23,18.1,84.0,0.0,5.3
Tien Yen,2023,2,24,18.5,78.0,0.0,0.0
Tien Yen,2023,2,25,17.5,63.0,0.0,10.1
Tien Yen,2023,2,26,13.9,75.0,0.0,9.7
Tien Yen,2023,2,27,14.8,75.0,0.0,9.8
Tien Yen,2023,2,28,16.3,80.0,0.0,9.8
Tien Yen,2023,3,1,17.8,86.0,0.0,0.1
Tien Yen,2023,3,2,21.0,75.0,0.0,7.5
Tien Yen,2023,3,3,20.4,76.0,0.0,7.1
Tien Yen,2023,3,4,19.3,80.0,0.0,1.6
Tien Yen,2023,3,5,19.5,81.0,0.0,8.1
Tien Yen,2023,3,6,18.7,82.0,0.0,7.6
Tien Yen,2023,3,7,19.4,84.0,0.0,3.0
Tien Yen,2023,3,8,19.9,88.0,0.0,1.2
Tien Yen,2023,3,9,22.4,83.0,0.0,8.9
Tien Yen,2023,3,10,21.1,80.0,0.0,9.3
Tien Yen,2023,3,11,21.5,86.0,0.0,1.6
Tien Yen,2023,3,12,21.8,84.0,0.4,2.9
Tien Yen,2023,3,13,18.8,66.0,0.0,5.4
Tien Yen,2023,3,14,19.8,78.0,0.0,0.0
Tien Yen,2023,3,15,20.1,90.0,0.0,0.0
Tien Yen,2023,3,16,21.8,89.0,0.0,0.0
Tien Yen,2023,3,17,22.0,92.0,0.2,0.0
Tien Yen,2023,3,18,22.0,88.0,0.0,0.0
Tien Yen,2023,3,19,21.8,90.0,0.1,0.8
Tien Yen,2023,3,20,21.2,97.0,3.0,0.0
Tien Yen,2023,3,21,23.7,95.0,0.0,0.0
Tien Yen,2023,3,22,24.8,92.0,0.0,1.0
Tien Yen,2023,3,23,25.7,85.0,0.0,8.1
Tien Yen,2023,3,24,24.6,92.0,6.4,0.0
Tien Yen,2023,3,25,23.9,95.0,11.7,0.0
Tien Yen,2023,3,26,19.8,87.0,13.2,0.0
Tien Yen,2023,3,27,17.9,89.0,7.7,0.0
Tien Yen,2023,3,28,16.7,96.0,4.9,0.0
Tien Yen,2023,3,29,18.0,94.0,0.2,0.0
Tien Yen,2023,3,30,18.7,88.0,0.0,1.3
Tien Yen,2023,3,31,20.3,89.0,0.0,0.0
Tien Yen,2023,4,1,20.8,98.0,4.9,0.0
Tien Yen,2023,4,2,23.5,92.0,1.1,0.8
Tien Yen,2023,4,3,24.5,92.0,0.2,0.3
Tien Yen,2023,4,4,25.3,93.0,0.6,0.0
Tien Yen,2023,4,5,25.8,87.0,0.0,2.0
Tien Yen,2023,4,6,26.5,84.0,0.0,2.4
Tien Yen,2023,4,7,22.1,74.0,0.0,0.0
Tien Yen,2023,4,8,19.7,90.0,4.8,0.0
Tien Yen,2023,4,9,18.1,94.0,3.9,0.0
Tien Yen,2023,4,10,20.6,97.0,4.3,0.0
Tien Yen,2023,4,11,22.5,98.0,5.3,0.0
Tien Yen,2023,4,12,24.1,93.0,0.0,0.0
Tien Yen,2023,4,13,23.5,94.0,0.7,0.0
Tien Yen,2023,4,14,23.9,94.0,0.1,0.0
Tien Yen,2023,4,15,24.2,92.0,0.2,2.4
Tien Yen,2023,4,16,24.6,81.0,0.0,8.9
Tien Yen,2023,4,17,22.9,96.0,2.8,0.0
Tien Yen,2023,4,18,24.9,95.0,0.0,0.0
Tien Yen,2023,4,19,25.5,93.0,0.0,0.0
Tien Yen,2023,4,20,25.4,90.0,0.0,0.0
Tien Yen,2023,4,21,26.0,92.0,0.0,0.5
Tien Yen,2023,4,22,26.9,88.0,0.0,0.7
Tien Yen,2023,4,23,27.0,86.0,9.1,1.1
Tien Yen,2023,4,24,26.0,90.0,1.0,0.0
Tien Yen,2023,4,25,22.1,83.0,3.5,0.0
Tien Yen,2023,4,26,22.6,78.0,0.0,4.4
Tien Yen,2023,4,27,22.5,92.0,0.0,0.0
Tien Yen,2023,4,28,25.3,94.0,0.0,0.1
Tien Yen,2023,4,29,23.4,95.0,36.8,0.0
Tien Yen,2023,4,30,22.1,79.0,0.0,1.4
Tien Yen,2023,5,1,22.9,81.0,0.0,10.3
Tien Yen,2023,5,2,24.5,86.0,0.0,1.9
Tien Yen,2023,5,3,26.3,89.0,0.0,2.6
Tien Yen,2023,5,4,27.2,88.0,0.1,0.3
Tien Yen,2023,5,5,27.1,91.0,0.0,3.6
Tien Yen,2023,5,6,28.5,86.0,0.0,7.0
Tien Yen,2023,5,7,28.6,86.0,0.0,0.0
Tien Yen,2023,5,8,25.2,88.0,8.1,0.4
Tien Yen,2023,5,9,23.9,89.0,2.4,0.0
Tien Yen,2023,5,10,26.1,94.0,13.1,0.1
Tien Yen,2023,5,11,24.7,93.0,17.0,0.5
Tien Yen,2023,5,12,23.0,86.0,8.5,0.0
Tien Yen,2023,5,13,21.9,90.0,3.6,0.0
Tien Yen,2023,5,14,23.4,84.0,0.0,1.9
Tien Yen,2023,5,15,25.3,85.0,0.0,6.9
Tien Yen,2023,5,16,27.1,89.0,0.0,7.9
Tien Yen,2023,5,17,29.7,80.0,0.0,11.3
Tien Yen,2023,5,18,29.0,84.0,0.0,10.9
Tien Yen,2023,5,19,28.9,84.0,0.0,4.1
Tien Yen,2023,5,20,29.0,85.0,0.0,9.1
Tien Yen,2023,5,21,29.7,85.0,0.0,4.9
Tien Yen,2023,5,22,30.2,85.0,0.0,6.6
Tien Yen,2023,5,23,28.9,82.0,0.0,1.2
Tien Yen,2023,5,24,27.4,88.0,0.3,0.2
Tien Yen,2023,5,25,27.4,89.0,22.2,1.9
Tien Yen,2023,5,26,27.6,88.0,10.3,5.2
Tien Yen,2023,5,27,27.3,94.0,40.0,3.9
Tien Yen,2023,5,28,27.1,92.0,1.4,1.7
Tien Yen,2023,5,29,28.4,82.0,0.0,12.0
Tien Yen,2023,5,30,29.1,78.0,0.0,11.0
